ourairports extra lat/lng match msfs SSPC with ourairports ['37845', 'SWEF', 'small_airport', 'Fazenda Europa Airport', -14.80166667, -51.34, 274.0151912315139, 'SWEF', '']
ourairports extra lat/lng match msfs AR91 with ourairports ['335030', 'US-1488', 'small_airport', 'Monache Meadows Airstrip', 36.22591, -118.171713, 0, '', '']
ourairports extra lat/lng match msfs KMCT with ourairports ['337496', 'US-2009', 'small_airport', 'Mills Flying M Ranch Airport', 35.0563, -95.8213, 234.39119249948183, '', '']
ourairports extra lat/lng match msfs I98D with ourairports ['342484', 'US-3398', 'small_airport', 'Vines Landing Strip', 45.13232, -114.99935, 1261.8719596200974, '', '']
ourairports extra lat/lng match msfs 05OK with ourairports ['342495', 'US-3408', 'small_airport', 'Strawberry Ridge Airstrip', 35.85321, -82.11058, 1129.5887638531597, '', '']
ourairports extra lat/lng match msfs AZ57 with ourairports ['342925', 'US-3518', 'small_airport', 'Rainbow Valley Landing Strip', 33.3136, -112.5125, 288.9503907535875, '', '']
ourairports extra lat/lng match msfs KCHL with ourairports ['344345', 'US-4060', 'small_airport', 'Root Ranch Airport', 45.31238, -115.02567, 0, '', '']
ourairports extra lat/lng match msfs IA83 with ourairports ['344349', 'US-4064', 'small_airport', 'Young Landing Area', 42.95511, -115.81656, 0, '', '']
ourairports extra lat/lng match msfs F97 with ourairports ['344931', 'US-4244', 'small_airport', 'Poway Field Gliderport', 32.95455, -117.01223, 170.68799453798417, '', '']
ourairports extra lat/lng match msfs CA89 with ourairports ['345717', 'US-4519', 'small_airport', 'Jackson Hole Airport', 33.63298, -110.59792, 1548.9935504322063, '', '']
ourairports extra lat/lng match msfs C23 with ourairports ['41601', 'VE-0208', 'small_airport', 'San Salvador de Paul Airport', 7.0, -62.0, 175.5647943819266, '', '']
ourairports extra lat/lng match msfs 08B with ourairports ['25767', 'WI73', 'small_airport', 'Happy Jacks Air Strip', 44.0, -88.8333969116211, 243.83999219712024, 'WI73', 'WI73']
ourairports extra lat/lng match msfs SCCF with ourairports ['27718', 'YLGL', 'small_airport', 'Laglan Airport', -22.5, 146.66700744628906, 0, 'YLGL', '']
ourairports extra lat/lng match msfs FAIJ with ourairports ['340273', 'ZA-0192', 'small_airport', 'Pearly Beach Airstrip', -34.6301, 19.4758, 0, '', '']
ourairports extra lat/lng match msfs FAUD with ourairports ['340277', 'ZA-0195', 'small_airport', 'Contermanskloof Airstrip', -33.8025, 18.5799, 0, '', '']
